id,Created (UTC),Valid,Duration,Duration In Months,Percent Off,Amount Off,Currency,Redeem By (UTC),Max Redemptions,Times Redeemed
HC1EJshb,2026-09-16 01:15,true,once,,100.0,,,,,0
867CjHvr,2026-09-16 01:14,true,once,,50.0,,,,,0
4F5VAoOu,2026-09-16 01:14,true,once,,25.0,,,,,0
